timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1767603864224,101035,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,87434,2297,1,1,null,0,3,49
1767603864225,101035,Interconnection Map,200,OK,APIs 1-1,text,true,,87434,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,100992,0,49
1767604124477,409,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,0,3141,279
1767604127575,409,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,403,0,279
1767604128055,43588,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,87086,2297,1,1,null,0,496,46
1767604128056,43588,Interconnection Map,200,OK,APIs 1-1,text,true,,87086,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,43510,0,46
1767604172139,14878,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,87434,2297,1,1,null,0,6,61
1767604172141,14878,Interconnection Map,200,OK,APIs 1-1,text,true,,87434,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,14857,0,61
1767604187024,17236,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,87434,2297,1,1,null,0,4,59
1767604187025,17236,Interconnection Map,200,OK,APIs 1-1,text,true,,87434,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,17209,0,59
1767604697536,1000,Token,200,"Number of samples in transaction : 1, number of failing samples : 0",Token 1-1,,true,,2271,259,1,1,null,0,3109,741
1767604700622,1000,Token,200,OK,Token 1-1,text,true,,2271,259,1,1,https://api2.stg.handshakes.ai/Token,997,0,741
1767604701673,510,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5903,2178,1,1,null,0,483,54
1767604701674,510,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5903,2178,1,1,https://api2.stg.handshakes.ai/api/entity/search,510,0,54
1767604702667,17716,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,467881,2246,1,1,null,0,12,0
1767604702667,17716,Radial Map,200,OK,APIs 1-1,text,true,,467881,2246,1,1,https://api2.stg.handshakes.ai/api/graph/render,17543,0,0
1767604720396,13577,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,87434,2297,1,1,null,0,24,0
1767604720396,13577,Interconnection Map,200,OK,APIs 1-1,text,true,,87434,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,13564,0,0
1767604734000,55966,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,73350,2051,1,1,null,0,22,0
1767604734001,55966,EPR,200,OK,APIs 1-1,text,true,,73350,2051,1,1,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=4af00c3f-bda4-490c-8c7b-c7645bfaf395&sourceguid=2b750d5e-4646-4843-9292-7c82940f55b2&sourceguid=edffcff1-81bf-4ace-bdb5-049e8799137d&entityguid=7A574899-7B80-4271-850A-A7D19E33D112,55962,0,0
1767604789989,276,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5903,2178,1,1,null,0,7,76
1767604789993,276,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5903,2178,1,1,https://api2.stg.handshakes.ai/api/entity/search,276,0,76
1767604790273,8453,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,467881,2246,1,1,null,0,2,0
1767604790273,8453,Radial Map,200,OK,APIs 1-1,text,true,,467881,2246,1,1,https://api2.stg.handshakes.ai/api/graph/render,8278,0,0
1767604798728,13067,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,87452,2297,1,1,null,0,3,0
1767604798728,13067,Interconnection Map,200,OK,APIs 1-1,text,true,,87452,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,13048,0,0
1767604811798,60101,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,73350,2051,1,1,null,0,3,0
1767604811798,60101,EPR,200,OK,APIs 1-1,text,true,,73350,2051,1,1,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=4af00c3f-bda4-490c-8c7b-c7645bfaf395&sourceguid=2b750d5e-4646-4843-9292-7c82940f55b2&sourceguid=edffcff1-81bf-4ace-bdb5-049e8799137d&entityguid=7A574899-7B80-4271-850A-A7D19E33D112,60099,0,0
1767604871902,292,Enhanced Entity Search,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,5903,2178,1,1,null,0,2,85
1767604871903,292,Enhanced Entity Search,200,OK,APIs 1-1,text,true,,5903,2178,1,1,https://api2.stg.handshakes.ai/api/entity/search,292,0,85
1767604872197,7330,Radial Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,467881,2246,1,1,null,0,2,0
1767604872197,7330,Radial Map,200,OK,APIs 1-1,text,true,,467881,2246,1,1,https://api2.stg.handshakes.ai/api/graph/render,7186,0,0
1767604879530,12060,Interconnection Map,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,87434,2297,1,1,null,0,2,0
1767604879530,12060,Interconnection Map,200,OK,APIs 1-1,text,true,,87434,2297,1,1,https://api2.stg.handshakes.ai/api/graph/render,12042,0,0
1767604891592,52724,EPR,200,"Number of samples in transaction : 1, number of failing samples : 0",APIs 1-1,,true,,73309,2051,1,1,null,0,3,0
1767604891593,52724,EPR,200,OK,APIs 1-1,text,true,,73309,2051,1,1,https://api2.stg.handshakes.ai/api/report/entityprofile/base/json/2?sourceguid=4af00c3f-bda4-490c-8c7b-c7645bfaf395&sourceguid=2b750d5e-4646-4843-9292-7c82940f55b2&sourceguid=edffcff1-81bf-4ace-bdb5-049e8799137d&entityguid=7A574899-7B80-4271-850A-A7D19E33D112,52717,0,0
